date,water level,error
2002-06-18,882.927,0.077
2002-08-27,904.556,0.353
2002-10-01,892.510,0.001
2002-12-10,889.522,0.021
2003-01-14,883.419,0.200
2003-02-18,864.929,0.030
2003-03-25,859.539,0.136
2003-04-29,871.237,0.004
2003-06-03,878.353,0.079
2003-07-08,892.807,0.153
2003-08-12,892.835,0.519
2003-09-16,900.003,0.095
2003-10-21,897.459,0.432
2003-11-25,895.643,0.041
2003-12-30,891.044,0.059
2004-02-03,886.562,0.159
2004-03-09,897.877,0.404
2004-04-13,880.978,0.110
2004-05-18,881.992,0.010
2004-06-22,891.594,0.024
2004-07-27,897.439,0.013
2004-08-31,897.985,0.135
2004-10-05,896.880,0.226
2004-12-14,890.705,0.218
2005-01-18,886.129,0.048
2005-02-22,879.148,0.234
2005-03-29,878.069,0.251
2005-06-07,883.997,0.026
2005-07-12,892.590,0.106
2005-10-25,895.462,0.204
2005-11-29,891.869,0.097
2006-01-03,887.678,0.023
2006-02-07,880.187,0.186
2006-03-14,875.334,0.040
2006-04-18,872.921,0.075
2006-05-23,878.041,0.206
2006-06-27,886.296,0.063
2006-08-01,888.945,0.122
2006-10-10,890.099,0.046
2006-11-14,887.698,0.020
2006-12-19,883.023,0.038
2007-01-23,876.599,0.453
2007-02-27,869.605,0.051
2007-05-08,867.652,0.051
2007-06-12,879.748,0.361
2007-08-21,874.578,0.080
2007-10-30,875.021,0.024
2007-12-04,871.059,0.031
2008-01-08,862.765,0.261
2013-03-15,868.627,0.009
2013-04-19,866.925,0.007
2013-08-02,882.731,0.006
2013-09-06,886.100,0.003
2013-10-11,886.945,0.010
2013-11-15,884.609,0.002
2013-12-20,879.221,0.002
2014-01-24,871.509,0.001
2014-02-28,862.745,0.002
2014-04-04,856.123,0.024
2014-05-09,854.736,0.000
2014-06-13,860.709,0.001
2014-07-18,867.471,0.002
2014-08-22,869.175,0.004
2014-09-26,870.226,0.011
2014-10-31,868.568,0.006
2014-12-05,863.064,0.006
2015-01-09,856.198,0.002
2015-02-13,849.358,0.000
2015-03-20,843.178,0.028
2015-04-24,842.195,0.004
2015-05-29,850.707,0.043
2015-07-03,861.486,0.010
2015-08-07,870.123,0.005
2015-09-11,873.780,0.001
2015-10-16,875.115,0.019
2015-11-20,872.728,0.007
2015-12-25,868.242,0.005
2016-01-29,862.675,0.001
2016-03-04,857.498,0.005
2016-03-20,854.585,0.021
2016-04-08,855.886,0.002
2016-04-16,850.384,0.154
2016-05-13,859.733,0.005
2016-06-09,867.878,0.002
2016-06-17,872.531,0.046
2016-07-06,871.147,0.048
2016-08-02,867.715,0.089
2017-01-11,859.298,0.368
2017-04-02,864.673,0.177
2017-04-29,853.796,0.335
2017-06-22,870.494,0.484
2017-10-08,866.016,0.633
2017-12-01,866.630,0.245
2017-12-28,868.810,0.825
2018-01-24,862.593,0.119
2018-03-19,870.052,0.038
2018-07-05,868.051,0.329
2018-08-01,869.148,0.364
2018-08-28,867.835,0.388
2018-09-24,868.437,0.547
2018-10-21,867.348,0.342
2019-03-05,879.898,0.003
2019-04-01,877.203,0.028
2019-04-28,876.897,0.003
2019-05-25,872.162,0.045
2019-06-21,874.288,0.039
2019-07-18,887.375,0.001
2019-08-14,889.858,0.011
2019-09-10,891.074,0.005
2019-10-07,888.394,0.375
2019-11-03,890.614,0.006
2019-11-30,887.706,0.015
2019-12-27,883.577,0.018
2020-01-23,878.786,0.012
2020-02-19,874.071,0.013
2020-03-17,860.913,0.049
2020-04-13,867.971,0.377
2020-05-10,866.956,0.134
2020-06-06,874.218,0.003
2020-07-03,876.829,0.005
2020-07-30,878.806,0.027
2020-08-26,881.888,0.021
2020-09-22,877.443,0.027
2020-10-19,883.167,0.002
2020-11-15,880.680,0.011
2020-12-12,875.751,0.008
2021-01-08,859.225,0.555
2021-02-04,863.514,0.018
2021-03-03,858.755,0.020
2021-03-30,861.507,0.128
2021-04-26,859.200,0.077
2021-05-23,854.439,0.307
2021-06-19,865.211,0.019
2021-08-12,870.145,0.022
2021-09-08,867.067,0.265
2021-10-05,871.789,0.008
2021-11-01,870.096,0.003
2021-11-28,866.376,0.027
2021-12-25,862.849,0.048
2022-01-21,859.149,0.070
2022-02-17,858.431,0.243
2022-03-16,859.185,0.472
2022-04-12,860.189,0.352
2022-05-09,858.352,0.043
2022-06-05,864.900,0.023
2022-07-02,867.422,0.005
2022-07-29,866.127,0.175
2022-08-25,875.660,0.015